student_id,attendance,cgpa,aptitude,communication,projects,internships,coding,study_hours,placement_ready
STU060,70.8,8.27,67.7,44.9,2,2,79.7,1.9,0
STU061,83.5,5.77,76.7,37.2,3,2,38.4,2.9,0
STU062,61.0,5.74,43.0,45.0,2,0,66.0,1.2,0
STU063,69.5,7.94,62.6,83.6,1,0,78.6,1.3,0
STU064,85.8,9.16,48.0,84.2,1,0,86.2,4.0,1
STU065,92.0,6.27,45.7,97.9,1,0,99.4,4.0,0
STU066,98.5,8.33,60.8,96.6,2,0,92.3,6.2,1
STU067,55.8,8.72,73.6,45.3,1,1,39.2,7.6,0
STU068,83.1,9.61,85.3,53.7,2,0,64.1,7.2,1
STU069,75.4,6.12,85.5,71.4,4,0,70.6,5.2,1
STU070,64.2,8.57,62.3,57.5,3,0,64.8,1.7,1
STU071,53.8,8.16,34.9,95.0,2,0,73.4,5.0,1
STU072,95.1,6.1,37.4,41.0,2,0,97.9,6.2,1
STU073,80.9,6.04,97.5,93.8,3,0,60.3,3.3,1
STU074,76.7,9.32,59.3,66.8,2,0,82.7,5.1,1
STU075,75.2,5.57,96.2,60.0,0,0,35.5,2.7,0
STU076,87.3,5.62,72.2,68.8,4,0,52.6,2.5,1
STU077,60.2,7.32,37.8,41.9,4,0,25.4,2.4,0
STU078,95.8,5.88,41.7,94.2,1,1,85.2,4.9,1
STU079,78.4,5.66,97.2,98.6,3,1,63.7,7.5,1
STU080,83.2,9.87,33.3,40.9,2,0,25.5,5.3,1
STU081,96.4,5.82,79.0,70.5,2,0,65.5,4.5,1
STU082,74.3,6.59,31.1,60.1,1,1,38.4,2.7,0
STU083,76.2,7.02,49.5,77.0,1,0,50.8,6.2,0
STU084,89.4,9.2,63.2,80.1,3,0,62.1,1.8,1
STU085,70.2,9.85,64.9,62.2,2,0,51.7,6.2,1
STU086,70.1,6.6,51.3,78.9,3,1,48.0,4.7,0
STU087,68.4,8.81,80.0,73.3,1,0,95.6,5.3,1
STU088,58.1,8.26,51.8,61.5,1,0,47.2,2.1,0
STU089,52.2,8.14,36.7,89.1,2,0,53.9,2.9,0
STU090,64.0,8.83,58.7,54.3,1,0,70.9,1.2,0
STU091,85.6,8.71,83.2,61.2,3,1,37.4,1.7,1
STU092,70.9,8.27,51.2,70.3,4,1,51.1,7.5,1
STU093,76.4,5.67,73.5,47.7,1,0,68.5,4.1,0
STU094,66.7,5.66,71.8,56.9,1,0,98.8,5.4,0
STU095,91.8,9.76,50.0,78.2,4,0,87.4,3.5,1
STU096,72.6,8.3,93.7,90.5,3,1,53.3,7.0,1
STU097,53.4,6.56,42.2,75.2,2,1,57.7,2.3,1
STU098,62.4,6.05,72.1,76.3,4,1,56.2,3.2,0
STU099,56.6,5.8,53.9,44.8,2,0,32.9,6.7,0
STU100,80.5,6.06,54.3,44.7,2,1,32.5,8.0,0
STU101,72.3,9.76,36.4,79.6,2,2,58.1,1.4,0
STU102,71.6,7.43,34.8,81.3,2,0,51.3,2.2,0
STU103,80.9,9.06,48.1,87.1,3,1,52.4,6.3,1
STU104,81.7,6.94,90.0,91.3,1,1,70.4,2.3,1
STU105,53.6,8.24,66.9,53.9,3,1,40.6,7.5,1
STU106,76.8,9.79,51.8,91.7,1,1,70.1,3.4,1
STU107,96.2,8.37,76.3,61.4,2,0,53.2,1.7,0
STU108,84.6,8.13,69.9,58.3,3,0,51.3,2.8,1
STU109,69.3,7.6,72.2,91.1,1,2,84.5,1.8,1
STU110,93.5,8.69,30.2,49.2,0,0,78.2,7.5,0
STU111,77.9,5.96,72.9,68.6,2,0,33.1,3.9,0
STU112,90.1,5.82,71.3,82.8,2,0,97.8,4.9,1
STU113,89.0,6.79,94.6,71.2,3,0,94.8,3.9,0
STU114,59.9,7.29,33.4,64.5,2,1,58.1,5.5,0
STU115,65.8,9.01,85.7,62.9,1,1,64.3,2.1,0
STU116,53.5,5.96,62.6,40.0,2,0,99.6,3.6,0
STU117,65.3,6.48,53.8,41.0,2,0,65.8,5.8,0
STU118,58.6,6.17,68.7,79.4,2,1,60.3,2.3,0
STU119,97.0,7.63,93.7,73.7,2,0,98.6,4.7,1
STU120,86.5,7.63,94.5,94.6,1,0,91.7,7.6,1
STU121,62.0,6.06,97.7,88.4,0,0,47.4,7.8,0
STU122,66.0,7.46,91.3,77.5,4,0,98.8,2.4,0
STU123,67.3,6.64,98.5,89.5,3,1,71.2,1.3,1
STU124,84.9,8.6,34.4,77.3,3,0,95.3,4.9,1
STU125,90.3,7.92,83.4,76.4,3,1,57.5,7.5,1
STU126,93.6,7.63,38.4,94.5,3,2,44.8,2.7,1
STU127,62.0,9.94,62.2,79.5,1,1,64.6,3.5,0
STU128,91.1,8.66,51.1,55.0,2,0,57.7,4.0,1
STU129,70.0,7.16,45.1,70.3,2,1,96.8,2.8,0
STU130,90.8,9.34,53.1,40.8,1,0,30.9,2.2,0
STU131,62.8,6.89,58.4,89.7,0,0,97.1,7.2,1
STU132,92.0,9.0,53.5,87.6,3,1,63.3,6.2,1
STU133,57.7,8.59,38.3,38.6,3,0,49.4,5.0,0
STU134,65.0,8.56,93.7,71.8,1,0,59.5,4.6,1
STU135,87.6,8.95,39.0,87.3,2,0,97.2,5.3,1
STU136,78.8,5.81,91.9,98.7,0,0,34.8,1.1,1
STU137,52.8,9.75,61.1,38.3,3,1,62.0,7.8,1
STU138,67.0,9.93,63.4,80.1,3,0,56.5,6.0,1
STU139,95.1,6.88,46.7,40.4,0,0,63.4,7.6,0
STU140,52.2,5.53,41.7,47.8,2,0,57.3,1.7,0
STU141,60.6,8.16,94.0,40.3,4,0,28.2,5.9,0
STU142,73.6,5.59,53.7,67.4,3,1,71.4,2.4,0
STU143,55.2,9.45,43.3,66.9,3,2,76.3,1.7,0
STU144,58.5,8.13,91.4,73.9,4,2,94.4,5.7,1
STU145,68.4,6.67,93.3,38.7,2,2,86.2,1.7,0
STU146,99.4,9.16,70.7,47.7,2,0,45.0,4.2,0
STU147,84.8,8.57,41.3,52.3,3,1,55.5,6.7,1
STU148,83.6,8.25,98.7,36.0,3,1,35.1,6.0,1
STU149,59.4,8.86,39.5,45.6,1,0,98.4,6.5,0
STU150,54.1,5.77,99.9,42.8,4,1,66.6,1.1,0
STU151,57.8,9.6,33.8,41.8,1,1,50.7,2.2,0
STU152,97.4,9.94,62.9,96.2,3,1,54.7,1.2,1
STU153,56.6,9.35,58.2,42.1,1,0,50.9,1.4,0
STU154,71.4,8.93,70.6,74.1,2,0,34.5,3.1,1
STU155,67.3,6.94,34.6,91.5,3,0,79.8,7.9,0
STU156,75.3,5.82,80.2,91.9,2,2,34.3,6.3,0
STU157,62.9,8.33,35.1,57.0,2,1,66.7,3.8,0
STU158,62.5,7.24,32.9,94.7,4,0,51.3,2.1,0
STU159,59.6,7.16,80.3,40.5,2,0,73.9,6.7,1
STU160,79.2,9.37,39.3,48.9,2,1,29.9,2.6,0
STU161,87.1,9.57,39.2,46.4,1,1,64.2,5.7,0
STU162,89.9,7.59,57.7,53.8,0,0,37.9,6.9,0
STU163,67.6,8.56,47.9,84.2,2,1,30.3,5.9,0
STU164,75.5,6.65,74.3,61.3,0,1,94.0,4.3,0
STU165,62.9,8.76,76.3,57.1,1,0,96.1,1.1,1
STU166,62.6,6.41,62.6,86.2,3,0,65.8,4.4,1
STU167,81.9,9.65,58.1,51.6,2,1,85.5,1.3,1
STU168,77.9,9.19,94.3,88.7,2,1,25.3,3.4,1
STU169,97.3,7.09,58.6,54.6,0,1,38.1,5.6,1
STU170,60.7,8.11,67.3,63.7,2,0,93.4,6.0,0
STU171,57.4,5.62,69.8,73.9,2,1,27.2,6.3,1
STU172,75.7,9.74,74.0,87.2,4,0,71.3,2.8,1
STU173,75.9,6.15,79.1,82.7,3,0,45.0,1.4,0
STU174,90.6,6.72,41.6,48.5,2,0,58.0,5.2,1
STU175,56.4,7.18,96.8,90.8,3,0,58.2,6.5,1
STU176,68.8,6.28,67.2,73.5,0,0,37.6,1.9,0
STU177,71.0,7.38,71.3,98.5,1,1,41.5,2.3,0
STU178,87.7,7.7,56.0,36.8,4,0,81.2,5.3,1
STU179,60.7,7.71,42.0,60.0,1,1,39.2,1.7,0
STU180,72.6,9.09,79.6,93.1,1,0,89.3,1.5,1
STU181,97.6,6.79,32.3,93.8,2,0,72.5,3.0,1
STU182,82.3,8.71,52.6,93.8,2,2,33.4,6.6,1
STU183,89.5,7.43,48.0,79.4,2,1,92.2,4.6,1
STU184,89.4,9.68,59.5,94.7,0,0,68.2,7.7,0
STU185,86.2,9.75,95.7,55.1,0,0,51.6,4.4,1
STU186,58.4,5.81,76.8,57.8,2,1,89.0,5.3,0
STU187,97.5,9.29,68.5,67.8,3,1,46.3,5.2,1
STU188,62.6,8.32,45.1,59.9,2,0,48.9,8.0,0
STU189,67.7,9.76,39.9,65.0,1,1,25.9,5.1,0
STU190,69.7,7.85,54.8,63.4,3,0,49.6,4.7,0
STU191,89.1,5.84,66.5,98.4,3,0,73.4,3.8,1
STU192,71.7,8.65,41.0,77.2,2,1,34.0,3.1,1
STU193,55.6,8.25,93.8,95.0,1,0,45.5,4.2,0
STU194,76.9,7.32,69.7,69.9,1,1,77.2,1.5,1
STU195,55.2,9.22,75.6,77.3,0,1,57.0,5.4,0
STU196,61.0,8.13,89.9,58.5,1,0,82.0,4.6,0
STU197,96.4,7.07,60.7,42.3,2,2,46.0,3.7,1
STU198,99.1,9.71,43.0,89.3,2,0,98.8,6.8,1
STU199,59.5,7.15,73.8,84.6,3,0,29.8,4.4,0
STU200,79.6,9.83,84.1,42.8,2,1,92.6,3.4,1
STU201,71.7,5.55,56.0,97.7,1,0,93.4,6.1,0
STU202,85.6,7.35,34.1,70.5,2,0,30.2,7.2,0
STU203,66.6,7.83,34.7,64.4,2,2,55.5,2.9,1
STU204,56.1,6.27,39.6,38.6,3,0,27.3,4.7,0
STU205,75.6,7.78,99.7,57.0,1,0,31.6,1.8,0
STU206,60.6,8.25,81.8,99.9,1,0,96.6,7.1,1
STU207,88.8,9.93,49.2,55.8,1,0,40.6,5.4,0
STU208,90.5,8.64,51.4,39.9,4,0,41.8,2.2,0
STU209,69.8,9.94,95.9,93.3,3,0,33.6,2.2,0
STU210,52.7,6.5,32.8,85.7,1,0,48.2,7.5,0
STU211,91.8,9.8,88.1,47.8,2,1,63.4,6.3,1
STU212,81.6,7.0,63.2,91.7,4,0,83.7,7.6,1
STU213,60.1,8.43,35.2,43.9,3,0,85.5,6.0,0
STU214,55.8,8.55,85.2,81.4,1,1,71.8,8.0,1
STU215,69.2,9.69,72.9,38.9,2,0,99.7,3.5,1
STU216,79.9,7.43,52.6,41.1,3,0,28.8,7.8,0
STU217,73.7,6.9,56.9,91.4,4,0,38.4,2.2,1
STU218,63.1,9.71,41.9,61.0,2,1,27.5,5.1,1
STU219,63.3,9.11,44.6,86.5,2,1,78.8,1.0,1
STU220,90.9,7.16,46.3,56.4,2,0,44.8,4.5,1
STU221,68.8,8.2,93.1,55.8,4,1,52.0,5.4,1
STU222,97.4,7.93,62.5,84.3,1,0,72.4,5.8,0
STU223,52.5,6.61,55.5,91.0,2,0,62.1,6.3,1
STU224,84.8,8.41,45.2,83.7,2,0,35.9,2.7,0
STU225,90.8,8.7,85.8,65.8,3,0,79.6,4.3,1
STU226,70.4,6.2,62.7,43.6,1,0,36.9,3.1,0
STU227,82.5,8.98,48.7,42.8,1,1,61.7,3.8,1
STU228,97.6,5.96,52.5,93.2,2,1,61.3,4.1,1
STU229,83.7,9.12,97.1,36.4,2,1,31.6,7.5,1
STU230,61.3,6.49,41.0,73.8,0,2,60.7,5.2,0
STU231,56.1,7.04,32.0,98.8,2,0,69.7,7.2,1
STU232,73.6,7.54,65.8,67.5,2,1,94.3,4.3,1
STU233,72.7,5.78,93.6,92.3,1,0,77.9,3.9,0
STU234,78.3,9.72,53.4,83.4,1,0,46.2,4.3,1
STU235,82.4,7.56,83.4,84.2,2,1,76.4,2.3,1
STU236,56.6,9.68,38.4,67.9,3,0,60.7,2.3,1
STU237,66.9,8.5,93.2,55.1,1,0,32.7,5.7,0
STU238,65.8,8.63,76.4,99.1,2,0,42.3,6.3,1
STU239,90.4,9.49,96.4,79.5,2,1,79.4,5.8,1
STU240,58.2,7.37,32.8,96.4,1,1,38.2,3.7,1
STU241,80.7,6.44,61.3,62.7,4,1,30.4,3.6,1
STU242,65.1,8.05,37.0,68.3,1,2,71.4,5.2,0
STU243,96.8,7.62,78.3,94.6,2,1,91.2,2.0,1
STU244,64.2,6.01,84.6,55.2,3,2,27.3,6.7,1
STU245,90.0,8.22,96.0,98.0,1,1,91.7,7.9,1
STU246,68.8,5.95,59.7,66.1,4,0,56.7,2.5,0
STU247,80.5,5.71,63.0,69.3,3,2,86.6,6.1,0
STU248,80.7,8.09,78.5,73.4,2,2,35.1,3.7,1
STU249,79.2,6.02,61.3,76.9,2,1,79.6,3.1,0
STU250,78.3,8.85,86.3,94.2,1,0,35.0,7.9,1
STU251,53.2,6.66,46.2,56.3,4,1,56.7,1.3,1
STU252,73.3,9.07,58.4,70.4,2,1,53.9,7.5,1
STU253,85.9,7.46,42.4,94.3,1,0,42.7,3.3,0
STU254,61.7,5.65,33.1,91.4,2,1,98.6,6.1,0
STU255,69.9,6.88,67.3,70.3,0,0,62.9,1.3,0
STU256,86.7,5.77,56.2,52.4,4,1,62.4,1.9,1
STU257,89.5,6.22,88.4,69.7,2,1,84.0,1.3,1
STU258,97.0,5.8,38.0,71.0,1,1,90.4,2.3,1
STU259,93.1,5.64,36.4,45.5,1,1,77.1,3.7,1
STU260,67.6,7.01,69.5,85.2,1,0,34.9,7.9,1
STU261,84.3,9.04,36.3,61.6,2,0,96.9,4.0,1
STU262,83.9,7.99,38.5,81.7,3,1,88.7,2.2,1
STU263,89.9,7.02,75.1,67.9,2,1,60.6,3.6,1
STU264,79.8,7.92,37.6,97.7,1,0,70.7,8.0,0
STU265,99.6,9.44,47.3,86.4,1,0,60.4,1.7,1
STU266,95.0,9.04,61.5,84.0,3,1,89.7,1.9,1
STU267,85.6,6.37,71.9,57.1,1,0,74.1,6.4,0
STU268,58.7,8.35,48.4,42.0,1,0,38.8,7.1,0
STU269,57.3,9.33,77.5,97.2,3,1,90.8,4.9,1
STU270,85.4,6.65,34.8,56.5,0,1,45.6,1.2,0
STU271,87.9,8.16,97.5,54.6,2,1,95.1,1.4,1
STU272,53.2,9.19,63.5,52.0,3,1,27.5,7.1,0
STU273,88.8,6.78,80.3,39.1,2,0,91.1,3.4,1
STU274,80.1,7.25,40.1,37.7,2,0,45.5,1.0,0
STU275,53.6,7.57,50.0,58.6,1,0,59.1,3.3,0
STU276,84.6,8.69,34.2,99.7,0,1,49.3,2.6,1
STU277,52.6,8.6,30.8,98.8,1,1,62.3,7.1,1
STU278,95.1,6.06,62.8,43.6,3,1,85.7,3.0,0
STU279,54.7,7.18,69.8,50.9,1,0,39.7,7.8,1
STU280,64.9,6.71,74.2,42.5,2,0,40.5,1.3,0
STU281,70.9,9.83,45.0,88.9,2,2,53.5,3.5,1
STU282,75.4,8.12,73.8,64.8,1,0,94.2,1.8,1
STU283,91.3,9.86,39.0,89.1,3,0,52.4,5.8,1
STU284,63.9,9.7,50.3,52.8,1,0,92.2,4.1,1
STU285,75.6,7.5,96.3,52.6,3,0,47.3,2.5,1
STU286,85.6,5.84,43.2,52.7,3,0,32.5,2.1,0
STU287,83.1,7.88,53.8,90.9,2,1,29.6,7.0,1
STU288,72.7,6.18,58.8,97.1,2,2,78.7,1.9,1
STU289,69.9,7.43,93.7,84.4,2,0,50.4,3.4,1
STU290,73.1,6.5,75.5,62.7,2,1,51.8,4.6,1
STU291,58.5,7.64,59.7,56.5,2,1,46.4,1.9,0
STU292,54.0,8.59,84.1,51.5,2,1,27.8,7.6,1
STU293,94.2,8.79,79.0,60.0,3,0,61.2,3.2,0
STU294,60.1,8.3,68.3,52.4,2,0,37.8,6.4,0
STU295,84.4,6.12,67.2,95.0,2,1,63.5,5.3,0
STU296,81.9,6.47,33.7,57.1,2,0,98.3,1.1,1
STU297,75.3,7.07,90.7,40.4,2,0,45.3,2.8,0
STU298,62.5,9.11,88.6,87.9,2,1,75.6,5.4,1
STU299,70.3,9.9,84.0,62.3,4,0,49.3,3.0,1
STU300,64.8,6.15,45.4,82.7,2,0,85.9,3.3,0
STU301,86.8,9.62,81.0,81.6,3,2,93.3,6.4,1
STU302,79.0,6.62,85.8,61.3,2,1,78.0,4.8,1
STU303,72.4,6.03,46.8,96.2,2,0,51.9,3.7,0
STU304,87.0,6.12,95.5,78.0,0,0,83.2,1.7,1
STU305,85.2,9.56,49.0,36.8,2,1,44.6,7.3,1
STU306,94.9,5.9,69.4,55.1,1,1,47.1,7.5,0
STU307,70.6,7.69,92.8,98.4,2,0,86.2,4.6,1
STU308,63.9,8.61,78.4,52.6,1,0,50.5,3.1,0
STU309,56.1,5.94,74.6,53.3,2,0,64.9,2.1,1
STU310,72.2,7.7,71.7,36.0,3,0,33.1,6.8,0
STU311,93.2,8.3,74.8,91.0,3,0,81.4,1.4,1
STU312,86.3,7.37,68.8,98.6,2,1,96.9,3.6,1
STU313,87.6,5.62,33.1,65.3,2,1,70.0,5.1,0
STU314,71.8,8.21,68.8,61.3,2,1,94.4,5.9,1
STU315,68.6,6.39,47.5,41.9,1,0,49.5,4.9,0
STU316,65.0,7.33,73.6,60.0,1,1,95.4,1.8,0
STU317,64.4,9.77,65.8,83.3,4,0,82.2,6.3,1
STU318,90.9,9.83,79.6,73.5,1,1,62.1,3.9,1
STU319,64.8,6.01,32.5,83.0,3,0,31.2,2.0,0
STU320,92.7,6.27,99.0,74.9,2,1,86.5,5.5,1
